Data;1310 - Quantidade de ovos produzida - Dúzias (mil)
05/2018;297.813
06/2018;289.312
07/2018;308.619
08/2018;313.530
09/2018;302.581
10/2018;318.129
11/2018;308.658
12/2018;314.628
01/2019;318.001
02/2019;293.380
03/2019;317.665
04/2019;316.551
05/2019;320.459
06/2019;310.804
07/2019;325.824
08/2019;327.973
09/2019;320.025
10/2019;333.124
11/2019;327.260
12/2019;331.071
01/2020;328.532
02/2020;313.818
03/2020;332.593
04/2020;321.713
05/2020;327.305
06/2020;326.656
07/2020;339.965
08/2020;340.856
09/2020;336.691
10/2020;332.741
11/2020;324.391
12/2020;334.249
01/2021;330.138
02/2021;308.026
03/2021;340.086
Fonte;IBGE
